asset_id,application_id,borrower_id,asset_type,institution,account_token,account_masked,declared_balance,verified_balance,eligible_close_amount,eligible_reserve_amount,liquidity_haircut,eligibility_rule_id
APP-000004-AST-01,APP-000004,BORR-000004,checking,Cascade Mutual Credit Union,SYN-ACCT-000013,******0013,26646.81,26646.81,26646.81,26646.81,0.00,AST-ELG-001
APP-000004-AST-02,APP-000004,BORR-000004,savings,Cascade Mutual Credit Union,SYN-ACCT-000014,******0014,49486.94,49486.94,49486.94,49486.94,0.00,AST-ELG-001
APP-000004-AST-03,APP-000004,BORR-000004,brokerage,Ravenscourt Securities,SYN-ACCT-000015,******0015,2221.48,2221.48,1777.18,1777.18,0.20,AST-ELG-001
APP-000004-AST-04,APP-000004,BORR-000004,retirement,Meridian Retirement Trust,SYN-ACCT-000016,******0016,2369.57,2369.57,0,1421.74,0.40,AST-ELG-001
APP-000005-AST-01,APP-000005,BORR-000005,checking,Cascade Mutual Credit Union,SYN-ACCT-000017,******0017,10054.70,10054.70,10054.70,10054.70,0.00,AST-ELG-001
APP-000005-AST-02,APP-000005,BORR-000005,savings,Cascade Mutual Credit Union,SYN-ACCT-000018,******0018,18673.01,18673.01,18673.01,18673.01,0.00,AST-ELG-001
APP-000005-AST-03,APP-000005,BORR-000005,brokerage,Ravenscourt Securities,SYN-ACCT-000019,******0019,4835.56,4835.56,3868.45,3868.45,0.20,AST-ELG-001
APP-000005-AST-04,APP-000005,BORR-000005,retirement,Meridian Retirement Trust,SYN-ACCT-000020,******0020,5157.93,5157.93,0,3094.76,0.40,AST-ELG-001
APP-000006-AST-01,APP-000006,BORR-000007,checking,Cascade Mutual Credit Union,SYN-ACCT-000021,******0021,20772.78,20772.78,20772.78,20772.78,0.00,AST-ELG-001
APP-000006-AST-02,APP-000006,BORR-000007,savings,Cascade Mutual Credit Union,SYN-ACCT-000022,******0022,38578.02,38578.02,38578.02,38578.02,0.00,AST-ELG-001
APP-000007-AST-01,APP-000007,BORR-000008,checking,Harbor Point Savings,SYN-ACCT-000023,******0023,10147.40,10147.40,10147.40,10147.40,0.00,AST-ELG-001
APP-000007-AST-02,APP-000007,BORR-000008,savings,Harbor Point Savings,SYN-ACCT-000024,******0024,18845.17,18845.17,18845.17,18845.17,0.00,AST-ELG-001
APP-000008-AST-01,APP-000008,BORR-000009,checking,Sablefield Trust,SYN-ACCT-000025,******0025,33345.30,33345.30,33345.30,33345.30,0.00,AST-ELG-001
APP-000008-AST-02,APP-000008,BORR-000009,savings,Sablefield Trust,SYN-ACCT-000026,******0026,61926.99,61926.99,61926.99,61926.99,0.00,AST-ELG-001
APP-000008-AST-03,APP-000008,BORR-000009,brokerage,Tidewater Investment Services,SYN-ACCT-000027,******0027,6813.45,6813.45,5450.76,5450.76,0.20,AST-ELG-001
APP-000008-AST-04,APP-000008,BORR-000009,retirement,Meridian Retirement Trust,SYN-ACCT-000028,******0028,7267.68,7267.68,0,4360.61,0.40,AST-ELG-001
APP-000009-AST-01,APP-000009,BORR-000010,checking,Harbor Point Savings,SYN-ACCT-000029,******0029,33587.20,33587.20,33587.20,33587.20,0.00,AST-ELG-001
APP-000009-AST-02,APP-000009,BORR-000010,savings,Harbor Point Savings,SYN-ACCT-000030,******0030,62376.24,62376.24,62376.24,62376.24,0.00,AST-ELG-001
APP-000009-AST-03,APP-000009,BORR-000010,brokerage,Tidewater Investment Services,SYN-ACCT-000031,******0031,6594.08,6594.08,5275.26,5275.26,0.20,AST-ELG-001
APP-000009-AST-04,APP-000009,BORR-000010,retirement,Meridian Retirement Trust,SYN-ACCT-000032,******0032,7033.68,7033.68,0,4220.21,0.40,AST-ELG-001
APP-000010-AST-01,APP-000010,BORR-000011,checking,Northwind Community Bank,SYN-ACCT-000033,******0033,28555.09,28555.09,28555.09,28555.09,0.00,AST-ELG-001
APP-000010-AST-02,APP-000010,BORR-000011,savings,Northwind Community Bank,SYN-ACCT-000034,******0034,53030.88,53030.88,53030.88,53030.88,0.00,AST-ELG-001
APP-000010-AST-03,APP-000010,BORR-000011,brokerage,Ravenscourt Securities,SYN-ACCT-000035,******0035,4023.33,4023.33,3218.66,3218.66,0.20,AST-ELG-001
APP-000010-AST-04,APP-000010,BORR-000011,retirement,Meridian Retirement Trust,SYN-ACCT-000036,******0036,4291.55,4291.55,0,2574.93,0.40,AST-ELG-001
APP-000011-AST-01,APP-000011,BORR-000012,checking,Northwind Community Bank,SYN-ACCT-000037,******0037,34939.50,34939.50,34939.50,34939.50,0.00,AST-ELG-001
APP-000011-AST-02,APP-000011,BORR-000012,savings,Northwind Community Bank,SYN-ACCT-000038,******0038,64887.65,64887.65,64887.65,64887.65,0.00,AST-ELG-001
APP-000011-AST-03,APP-000011,BORR-000012,brokerage,Tidewater Investment Services,SYN-ACCT-000039,******0039,6952.50,6952.50,5562.00,5562.00,0.20,AST-ELG-001
APP-000011-AST-04,APP-000011,BORR-000012,retirement,Meridian Retirement Trust,SYN-ACCT-000040,******0040,7416.00,7416.00,0,4449.60,0.40,AST-ELG-001
APP-000012-AST-01,APP-000012,BORR-000013,checking,Harbor Point Savings,SYN-ACCT-000041,******0041,39729.65,39729.65,39729.65,39729.65,0.00,AST-ELG-001
APP-000012-AST-02,APP-000012,BORR-000013,savings,Harbor Point Savings,SYN-ACCT-000042,******0042,73783.63,73783.63,73783.63,73783.63,0.00,AST-ELG-001
APP-000012-AST-03,APP-000012,BORR-000013,brokerage,Ravenscourt Securities,SYN-ACCT-000043,******0043,7482.88,7482.88,5986.30,5986.30,0.20,AST-ELG-001
APP-000012-AST-04,APP-000012,BORR-000013,retirement,Meridian Retirement Trust,SYN-ACCT-000044,******0044,7981.73,7981.73,0,4789.04,0.40,AST-ELG-001
APP-000013-AST-01,APP-000013,BORR-000014,checking,Cascade Mutual Credit Union,SYN-ACCT-000045,******0045,42450.37,42450.37,42450.37,42450.37,0.00,AST-ELG-001
APP-000013-AST-02,APP-000013,BORR-000014,savings,Cascade Mutual Credit Union,SYN-ACCT-000046,******0046,78836.41,78836.41,78836.41,78836.41,0.00,AST-ELG-001
APP-000013-AST-03,APP-000013,BORR-000014,brokerage,Tidewater Investment Services,SYN-ACCT-000047,******0047,6130.49,6130.49,4904.39,4904.39,0.20,AST-ELG-001
APP-000013-AST-04,APP-000013,BORR-000014,retirement,Meridian Retirement Trust,SYN-ACCT-000048,******0048,6539.18,6539.18,0,3923.51,0.40,AST-ELG-001
APP-000014-AST-01,APP-000014,BORR-000016,checking,Harbor Point Savings,SYN-ACCT-000049,******0049,30098.01,30098.01,30098.01,30098.01,0.00,AST-ELG-001
APP-000014-AST-02,APP-000014,BORR-000016,savings,Harbor Point Savings,SYN-ACCT-000050,******0050,55896.29,55896.29,55896.29,55896.29,0.00,AST-ELG-001
APP-000014-AST-03,APP-000014,BORR-000016,brokerage,Ravenscourt Securities,SYN-ACCT-000051,******0051,3608.44,3608.44,2886.75,2886.75,0.20,AST-ELG-001
APP-000014-AST-04,APP-000014,BORR-000016,retirement,Meridian Retirement Trust,SYN-ACCT-000052,******0052,3849.00,3849.00,0,2309.40,0.40,AST-ELG-001
APP-000015-AST-01,APP-000015,BORR-000017,checking,Northwind Community Bank,SYN-ACCT-000053,******0053,39575.43,39575.43,39575.43,39575.43,0.00,AST-ELG-001
APP-000015-AST-02,APP-000015,BORR-000017,savings,Northwind Community Bank,SYN-ACCT-000054,******0054,73497.22,73497.22,73497.22,73497.22,0.00,AST-ELG-001
APP-000015-AST-03,APP-000015,BORR-000017,brokerage,Ravenscourt Securities,SYN-ACCT-000055,******0055,6932.51,6932.51,5546.01,5546.01,0.20,AST-ELG-001
APP-000015-AST-04,APP-000015,BORR-000017,retirement,Meridian Retirement Trust,SYN-ACCT-000056,******0056,7394.68,7394.68,0,4436.81,0.40,AST-ELG-001
APP-000016-AST-01,APP-000016,BORR-000019,checking,Sablefield Trust,SYN-ACCT-000057,******0057,42175.44,42175.44,42175.44,42175.44,0.00,AST-ELG-001
APP-000016-AST-02,APP-000016,BORR-000019,savings,Sablefield Trust,SYN-ACCT-000058,******0058,78325.83,78325.83,78325.83,78325.83,0.00,AST-ELG-001
APP-000016-AST-03,APP-000016,BORR-000019,brokerage,Tidewater Investment Services,SYN-ACCT-000059,******0059,11880.04,11880.04,9504.03,9504.03,0.20,AST-ELG-001
APP-000016-AST-04,APP-000016,BORR-000019,retirement,Meridian Retirement Trust,SYN-ACCT-000060,******0060,12672.03,12672.03,0,7603.22,0.40,AST-ELG-001
APP-000017-AST-01,APP-000017,BORR-000020,checking,Sablefield Trust,SYN-ACCT-000061,******0061,147519.39,147519.39,147519.39,147519.39,0.00,AST-ELG-001
APP-000017-AST-02,APP-000017,BORR-000020,savings,Sablefield Trust,SYN-ACCT-000062,******0062,273964.58,273964.58,273964.58,273964.58,0.00,AST-ELG-001
APP-000017-AST-03,APP-000017,BORR-000020,brokerage,Ravenscourt Securities,SYN-ACCT-000063,******0063,31837.84,31837.84,25470.27,25470.27,0.20,AST-ELG-001
APP-000017-AST-04,APP-000017,BORR-000020,retirement,Meridian Retirement Trust,SYN-ACCT-000064,******0064,33960.37,33960.37,0,20376.22,0.40,AST-ELG-001
APP-000018-AST-01,APP-000018,BORR-000021,checking,Sablefield Trust,SYN-ACCT-000065,******0065,285477.14,285477.14,285477.14,285477.14,0.00,AST-ELG-001
APP-000018-AST-02,APP-000018,BORR-000021,savings,Sablefield Trust,SYN-ACCT-000066,******0066,530171.84,530171.84,530171.84,530171.84,0.00,AST-ELG-001
APP-000018-AST-03,APP-000018,BORR-000021,brokerage,Ravenscourt Securities,SYN-ACCT-000067,******0067,57082.43,57082.43,45665.94,45665.94,0.20,AST-ELG-001
APP-000018-AST-04,APP-000018,BORR-000021,retirement,Meridian Retirement Trust,SYN-ACCT-000068,******0068,60887.92,60887.92,0,36532.75,0.40,AST-ELG-001
APP-000019-AST-01,APP-000019,BORR-000022,checking,Northwind Community Bank,SYN-ACCT-000069,******0069,4497.04,4497.04,4497.04,4497.04,0.00,AST-ELG-001
APP-000019-AST-02,APP-000019,BORR-000022,savings,Northwind Community Bank,SYN-ACCT-000070,******0070,8351.65,8351.65,8351.65,8351.65,0.00,AST-ELG-001
APP-000019-AST-03,APP-000019,BORR-000022,brokerage,Ravenscourt Securities,SYN-ACCT-000071,******0071,1435.01,1435.01,1148.01,1148.01,0.20,AST-ELG-001
APP-000019-AST-04,APP-000019,BORR-000022,retirement,Meridian Retirement Trust,SYN-ACCT-000072,******0072,1530.68,1530.68,0,918.41,0.40,AST-ELG-001
APP-000020-AST-01,APP-000020,BORR-000024,checking,Cascade Mutual Credit Union,SYN-ACCT-000073,******0073,2557.21,2557.21,2557.21,2557.21,0.00,AST-ELG-001
APP-000020-AST-02,APP-000020,BORR-000024,savings,Cascade Mutual Credit Union,SYN-ACCT-000074,******0074,4749.11,4749.11,4749.11,4749.11,0.00,AST-ELG-001
APP-000020-AST-03,APP-000020,BORR-000024,brokerage,Tidewater Investment Services,SYN-ACCT-000075,******0075,1935.14,1935.14,1548.11,1548.11,0.20,AST-ELG-001
APP-000020-AST-04,APP-000020,BORR-000024,retirement,Meridian Retirement Trust,SYN-ACCT-000076,******0076,2064.15,2064.15,0,1238.49,0.40,AST-ELG-001
APP-000021-AST-01,APP-000021,BORR-000025,checking,Sablefield Trust,SYN-ACCT-000077,******0077,2477.85,2477.85,2477.85,2477.85,0.00,AST-ELG-001
APP-000021-AST-02,APP-000021,BORR-000025,savings,Sablefield Trust,SYN-ACCT-000078,******0078,4601.72,4601.72,4601.72,4601.72,0.00,AST-ELG-001
APP-000021-AST-03,APP-000021,BORR-000025,brokerage,Ravenscourt Securities,SYN-ACCT-000079,******0079,2026.53,2026.53,1621.22,1621.22,0.20,AST-ELG-001
APP-000021-AST-04,APP-000021,BORR-000025,retirement,Meridian Retirement Trust,SYN-ACCT-000080,******0080,2161.63,2161.63,0,1296.98,0.40,AST-ELG-001
APP-000022-AST-01,APP-000022,BORR-000026,checking,Harbor Point Savings,SYN-ACCT-000081,******0081,7408.37,7408.37,7408.37,7408.37,0.00,AST-ELG-001
APP-000022-AST-02,APP-000022,BORR-000026,savings,Harbor Point Savings,SYN-ACCT-000082,******0082,13758.39,13758.39,13758.39,13758.39,0.00,AST-ELG-001
APP-000022-AST-03,APP-000022,BORR-000026,brokerage,Tidewater Investment Services,SYN-ACCT-000083,******0083,6249.14,6249.14,4999.31,4999.31,0.20,AST-ELG-001
APP-000022-AST-04,APP-000022,BORR-000026,retirement,Meridian Retirement Trust,SYN-ACCT-000084,******0084,6665.73,6665.73,0,3999.44,0.40,AST-ELG-001
APP-000023-AST-01,APP-000023,BORR-000028,checking,Cascade Mutual Credit Union,SYN-ACCT-000085,******0085,3997.53,3997.53,3997.53,3997.53,0.00,AST-ELG-001
APP-000023-AST-02,APP-000023,BORR-000028,savings,Cascade Mutual Credit Union,SYN-ACCT-000086,******0086,7423.99,7423.99,7423.99,7423.99,0.00,AST-ELG-001
APP-000023-AST-03,APP-000023,BORR-000028,brokerage,Tidewater Investment Services,SYN-ACCT-000087,******0087,6489.50,6489.50,5191.60,5191.60,0.20,AST-ELG-001
APP-000023-AST-04,APP-000023,BORR-000028,retirement,Meridian Retirement Trust,SYN-ACCT-000088,******0088,6922.13,6922.13,0,4153.28,0.40,AST-ELG-001
APP-000024-AST-01,APP-000024,BORR-000030,checking,Sablefield Trust,SYN-ACCT-000089,******0089,5153.94,5153.94,5153.94,5153.94,0.00,AST-ELG-001
APP-000024-AST-02,APP-000024,BORR-000030,savings,Sablefield Trust,SYN-ACCT-000090,******0090,9571.61,9571.61,9571.61,9571.61,0.00,AST-ELG-001
APP-000024-AST-03,APP-000024,BORR-000030,brokerage,Tidewater Investment Services,SYN-ACCT-000091,******0091,8366.80,8366.80,6693.44,6693.44,0.20,AST-ELG-001
APP-000024-AST-04,APP-000024,BORR-000030,retirement,Meridian Retirement Trust,SYN-ACCT-000092,******0092,8924.58,8924.58,0,5354.75,0.40,AST-ELG-001
APP-000025-AST-01,APP-000025,BORR-000031,checking,Harbor Point Savings,SYN-ACCT-000093,******0093,17451.81,17451.81,17451.81,17451.81,0.00,AST-ELG-001
APP-000025-AST-02,APP-000025,BORR-000031,savings,Harbor Point Savings,SYN-ACCT-000094,******0094,32410.49,32410.49,32410.49,32410.49,0.00,AST-ELG-001
APP-000025-AST-03,APP-000025,BORR-000031,brokerage,Tidewater Investment Services,SYN-ACCT-000095,******0095,5182.68,5182.68,4146.14,4146.14,0.20,AST-ELG-001
APP-000025-AST-04,APP-000025,BORR-000031,retirement,Meridian Retirement Trust,SYN-ACCT-000096,******0096,5528.18,5528.18,0,3316.91,0.40,AST-ELG-001
APP-000025-AST-05,APP-000025,BORR-000031,gift_funds,Harbor Point Savings,SYN-ACCT-000097,******0097,25000.00,25000.00,25000.00,0,0.00,AST-ELG-001
APP-000026-AST-01,APP-000026,BORR-000032,checking,Sablefield Trust,SYN-ACCT-000098,******0098,22608.81,22608.81,22608.81,22608.81,0.00,AST-ELG-001
APP-000026-AST-02,APP-000026,BORR-000032,savings,Sablefield Trust,SYN-ACCT-000099,******0099,41987.79,41987.79,41987.79,41987.79,0.00,AST-ELG-001
APP-000026-AST-03,APP-000026,BORR-000032,brokerage,Ravenscourt Securities,SYN-ACCT-000100,******0100,6762.33,6762.33,5409.86,5409.86,0.20,AST-ELG-001
APP-000026-AST-04,APP-000026,BORR-000032,retirement,Meridian Retirement Trust,SYN-ACCT-000101,******0101,7213.15,7213.15,0,4327.89,0.40,AST-ELG-001
APP-000026-AST-05,APP-000026,BORR-000032,gift_funds,Sablefield Trust,SYN-ACCT-000102,******0102,30000.00,30000.00,0,0,0.00,AST-SRC-001
APP-000027-AST-01,APP-000027,BORR-000033,checking,Cascade Mutual Credit Union,SYN-ACCT-000103,******0103,37936.70,37936.70,37936.70,37936.70,0.00,AST-ELG-001
APP-000027-AST-02,APP-000027,BORR-000033,savings,Cascade Mutual Credit Union,SYN-ACCT-000104,******0104,70453.88,70453.88,70453.88,70453.88,0.00,AST-ELG-001
APP-000027-AST-03,APP-000027,BORR-000033,brokerage,Ravenscourt Securities,SYN-ACCT-000105,******0105,4626.80,4626.80,3701.44,3701.44,0.20,AST-ELG-001
APP-000027-AST-04,APP-000027,BORR-000033,retirement,Meridian Retirement Trust,SYN-ACCT-000106,******0106,4935.25,4935.25,0,2961.15,0.40,AST-ELG-001
APP-000028-AST-01,APP-000028,BORR-000035,checking,Northwind Community Bank,SYN-ACCT-000107,******0107,30529.16,30529.16,30529.16,30529.16,0.00,AST-ELG-001
APP-000028-AST-02,APP-000028,BORR-000035,savings,Northwind Community Bank,SYN-ACCT-000108,******0108,56697.00,56697.00,56697.00,56697.00,0.00,AST-ELG-001
APP-000028-AST-03,APP-000028,BORR-000035,brokerage,Ravenscourt Securities,SYN-ACCT-000109,******0109,3039.91,3039.91,2431.93,2431.93,0.20,AST-ELG-001
APP-000028-AST-04,APP-000028,BORR-000035,retirement,Meridian Retirement Trust,SYN-ACCT-000110,******0110,3242.57,3242.57,0,1945.54,0.40,AST-ELG-001
APP-000029-AST-01,APP-000029,BORR-000036,checking,Cascade Mutual Credit Union,SYN-ACCT-000111,******0111,44957.64,44957.64,44957.64,44957.64,0.00,AST-ELG-001
APP-000029-AST-02,APP-000029,BORR-000036,savings,Cascade Mutual Credit Union,SYN-ACCT-000112,******0112,83492.75,83492.75,83492.75,83492.75,0.00,AST-ELG-001
APP-000029-AST-03,APP-000029,BORR-000036,brokerage,Ravenscourt Securities,SYN-ACCT-000113,******0113,7152.48,7152.48,5721.98,5721.98,0.20,AST-ELG-001
APP-000029-AST-04,APP-000029,BORR-000036,retirement,Meridian Retirement Trust,SYN-ACCT-000114,******0114,7629.30,7629.30,0,4577.58,0.40,AST-ELG-001
APP-000030-AST-01,APP-000030,BORR-000037,checking,Harbor Point Savings,SYN-ACCT-000115,******0115,33070.20,33070.20,33070.20,33070.20,0.00,AST-ELG-001
APP-000030-AST-02,APP-000030,BORR-000037,savings,Harbor Point Savings,SYN-ACCT-000116,******0116,61416.08,61416.08,61416.08,61416.08,0.00,AST-ELG-001
APP-000030-AST-03,APP-000030,BORR-000037,brokerage,Ravenscourt Securities,SYN-ACCT-000117,******0117,3858.66,3858.66,3086.93,3086.93,0.20,AST-ELG-001
APP-000030-AST-04,APP-000030,BORR-000037,retirement,Meridian Retirement Trust,SYN-ACCT-000118,******0118,4115.90,4115.90,0,2469.54,0.40,AST-ELG-001
APP-000031-AST-01,APP-000031,BORR-000038,checking,Cascade Mutual Credit Union,SYN-ACCT-000119,******0119,37225.97,37225.97,37225.97,37225.97,0.00,AST-ELG-001
APP-000031-AST-02,APP-000031,BORR-000038,savings,Cascade Mutual Credit Union,SYN-ACCT-000120,******0120,69133.95,69133.95,69133.95,69133.95,0.00,AST-ELG-001
APP-000031-AST-03,APP-000031,BORR-000038,brokerage,Ravenscourt Securities,SYN-ACCT-000121,******0121,3280.56,3280.56,2624.45,2624.45,0.20,AST-ELG-001
APP-000031-AST-04,APP-000031,BORR-000038,retirement,Meridian Retirement Trust,SYN-ACCT-000122,******0122,3499.27,3499.27,0,2099.56,0.40,AST-ELG-001
APP-000032-AST-01,APP-000032,BORR-000039,checking,Northwind Community Bank,SYN-ACCT-000123,******0123,33682.37,33682.37,33682.37,33682.37,0.00,AST-ELG-001
APP-000032-AST-02,APP-000032,BORR-000039,savings,Northwind Community Bank,SYN-ACCT-000124,******0124,62552.96,62552.96,62552.96,62552.96,0.00,AST-ELG-001
APP-000032-AST-03,APP-000032,BORR-000039,brokerage,Tidewater Investment Services,SYN-ACCT-000125,******0125,3878.90,3878.90,3103.12,3103.12,0.20,AST-ELG-001
APP-000032-AST-04,APP-000032,BORR-000039,retirement,Meridian Retirement Trust,SYN-ACCT-000126,******0126,4137.50,4137.50,0,2482.50,0.40,AST-ELG-001
APP-000033-AST-01,APP-000033,BORR-000040,checking,Harbor Point Savings,SYN-ACCT-000127,******0127,40872.93,40872.93,40872.93,40872.93,0.00,AST-ELG-001
APP-000033-AST-02,APP-000033,BORR-000040,savings,Harbor Point Savings,SYN-ACCT-000128,******0128,75906.86,75906.86,75906.86,75906.86,0.00,AST-ELG-001
APP-000033-AST-03,APP-000033,BORR-000040,brokerage,Tidewater Investment Services,SYN-ACCT-000129,******0129,5899.16,5899.16,4719.33,4719.33,0.20,AST-ELG-001
APP-000033-AST-04,APP-000033,BORR-000040,retirement,Meridian Retirement Trust,SYN-ACCT-000130,******0130,6292.43,6292.43,0,3775.46,0.40,AST-ELG-001
APP-000034-AST-01,APP-000034,BORR-000041,checking,Northwind Community Bank,SYN-ACCT-000131,******0131,29109.12,29109.12,29109.12,29109.12,0.00,AST-ELG-001
APP-000034-AST-02,APP-000034,BORR-000041,savings,Northwind Community Bank,SYN-ACCT-000132,******0132,54059.78,54059.78,54059.78,54059.78,0.00,AST-ELG-001
APP-000034-AST-03,APP-000034,BORR-000041,brokerage,Tidewater Investment Services,SYN-ACCT-000133,******0133,5765.31,5765.31,4612.25,4612.25,0.20,AST-ELG-001
APP-000034-AST-04,APP-000034,BORR-000041,retirement,Meridian Retirement Trust,SYN-ACCT-000134,******0134,6149.67,6149.67,0,3689.80,0.40,AST-ELG-001
APP-000035-AST-01,APP-000035,BORR-000042,checking,Cascade Mutual Credit Union,SYN-ACCT-000135,******0135,39634.49,39634.49,39634.49,39634.49,0.00,AST-ELG-001
APP-000035-AST-02,APP-000035,BORR-000042,savings,Cascade Mutual Credit Union,SYN-ACCT-000136,******0136,73606.91,73606.91,73606.91,73606.91,0.00,AST-ELG-001
APP-000035-AST-03,APP-000035,BORR-000042,brokerage,Ravenscourt Securities,SYN-ACCT-000137,******0137,4365.00,4365.00,3492.00,3492.00,0.20,AST-ELG-001
APP-000035-AST-04,APP-000035,BORR-000042,retirement,Meridian Retirement Trust,SYN-ACCT-000138,******0138,4656.00,4656.00,0,2793.60,0.40,AST-ELG-001
APP-000036-AST-01,APP-000036,BORR-000043,checking,Cascade Mutual Credit Union,SYN-ACCT-000139,******0139,37073.13,37073.13,37073.13,37073.13,0.00,AST-ELG-001
APP-000036-AST-02,APP-000036,BORR-000043,savings,Cascade Mutual Credit Union,SYN-ACCT-000140,******0140,68850.11,68850.11,68850.11,68850.11,0.00,AST-ELG-001
APP-000036-AST-03,APP-000036,BORR-000043,brokerage,Ravenscourt Securities,SYN-ACCT-000141,******0141,4463.08,4463.08,3570.46,3570.46,0.20,AST-ELG-001
APP-000036-AST-04,APP-000036,BORR-000043,retirement,Meridian Retirement Trust,SYN-ACCT-000142,******0142,4760.62,4760.62,0,2856.37,0.40,AST-ELG-001
APP-000037-AST-01,APP-000037,BORR-000045,checking,Harbor Point Savings,SYN-ACCT-000143,******0143,32005.76,32005.76,32005.76,32005.76,0.00,AST-ELG-001
APP-000037-AST-02,APP-000037,BORR-000045,savings,Harbor Point Savings,SYN-ACCT-000144,******0144,59439.27,59439.27,59439.27,59439.27,0.00,AST-ELG-001
APP-000037-AST-03,APP-000037,BORR-000045,brokerage,Ravenscourt Securities,SYN-ACCT-000145,******0145,4464.30,4464.30,3571.44,3571.44,0.20,AST-ELG-001
APP-000037-AST-04,APP-000037,BORR-000045,retirement,Meridian Retirement Trust,SYN-ACCT-000146,******0146,4761.92,4761.92,0,2857.15,0.40,AST-ELG-001
APP-000038-AST-01,APP-000038,BORR-000046,checking,Sablefield Trust,SYN-ACCT-000147,******0147,31648.05,31648.05,31648.05,31648.05,0.00,AST-ELG-001
APP-000038-AST-02,APP-000038,BORR-000046,savings,Sablefield Trust,SYN-ACCT-000148,******0148,58774.95,58774.95,58774.95,58774.95,0.00,AST-ELG-001
APP-000038-AST-03,APP-000038,BORR-000046,brokerage,Ravenscourt Securities,SYN-ACCT-000149,******0149,3798.38,3798.38,3038.70,3038.70,0.20,AST-ELG-001
APP-000038-AST-04,APP-000038,BORR-000046,retirement,Meridian Retirement Trust,SYN-ACCT-000150,******0150,4051.60,4051.60,0,2430.96,0.40,AST-ELG-001
APP-000039-AST-01,APP-000039,BORR-000047,checking,Northwind Community Bank,SYN-ACCT-000151,******0151,33807.22,33807.22,33807.22,33807.22,0.00,AST-ELG-001
APP-000039-AST-02,APP-000039,BORR-000047,savings,Northwind Community Bank,SYN-ACCT-000152,******0152,62784.83,62784.83,62784.83,62784.83,0.00,AST-ELG-001
APP-000039-AST-03,APP-000039,BORR-000047,brokerage,Tidewater Investment Services,SYN-ACCT-000153,******0153,3954.48,3954.48,3163.58,3163.58,0.20,AST-ELG-001
APP-000039-AST-04,APP-000039,BORR-000047,retirement,Meridian Retirement Trust,SYN-ACCT-000154,******0154,4218.10,4218.10,0,2530.86,0.40,AST-ELG-001
APP-000040-AST-01,APP-000040,BORR-000048,checking,Sablefield Trust,SYN-ACCT-000155,******0155,50555.18,50555.18,33821.85,33821.85,0.00,AST-ELG-001
APP-000040-AST-02,APP-000040,BORR-000048,savings,Sablefield Trust,SYN-ACCT-000156,******0156,62812.01,62812.01,62812.01,62812.01,0.00,AST-ELG-001
APP-000041-AST-01,APP-000041,BORR-000049,checking,Cascade Mutual Credit Union,SYN-ACCT-000157,******0157,3883.39,3883.39,3883.39,3883.39,0.00,AST-ELG-001
APP-000041-AST-02,APP-000041,BORR-000049,savings,Cascade Mutual Credit Union,SYN-ACCT-000158,******0158,7212.01,7212.01,7212.01,7212.01,0.00,AST-ELG-001
